,link,name,place,level,pay,form,places,min
18,p20230731112014_1_l1_p1_f1_s15,13.03.02 Электроэнергетика и электротехника,МАИ,Бакалавриат,Бюджет,очная,37,203
19,p20230731112014_1_l1_p1_f1_s16,15.03.03 Прикладная механика,МАИ,Бакалавриат,Бюджет,очная,40,194
20,p20230731112014_1_l1_p1_f1_s17,20.03.01 Техносферная безопасность,МАИ,Бакалавриат,Бюджет,очная,28,193
21,p20230731112014_1_l1_p1_f1_s18,22.03.00 Новые материалы и цифровые технологии,МАИ,Бакалавриат,Бюджет,очная,39,198
22,p20230731112014_1_l1_p1_f1_s25,27.03.03 Системный анализ и управление,МАИ,Бакалавриат,Бюджет,очная,113,205
23,p20230731112014_1_l1_p1_f1_s26,27.03.04 Управление в технических системах,МАИ,Бакалавриат,Бюджет,очная,38,227
24,p20230731112014_1_l1_p1_f1_s27,27.03.05 Инноватика,МАИ,Бакалавриат,Бюджет,очная,58,227
25,p20230731112014_1_l1_p1_f1_s29,38.03.00 Экономика и управление,МАИ,Бакалавриат,Бюджет,очная,41,247
26,p20230731112014_1_l1_p3_f2_s59,38.03.01 Экономика,МАИ,Бакалавриат,Платная иностранцы,очно-заочная,0,-1
27,p20230731112014_1_l1_p3_f2_s60,38.03.02 Менеджмент,МАИ,Бакалавриат,Платная иностранцы,очно-заочная,0,-1
28,p20230731112014_1_l1_p3_f2_s61,38.03.03 Управление персоналом,МАИ,Бакалавриат,Платная иностранцы,очно-заочная,0,-1
29,p20230731112014_1_l1_p3_f2_s63,38.03.05 Бизнес-информатика,МАИ,Бакалавриат,Платная иностранцы,очно-заочная,0,-1
30,p20230731112014_1_l1_p3_f2_s65,45.03.02 Лингвистика,МАИ,Бакалавриат,Платная иностранцы,очно-заочная,0,-1
31,p20230731112014_1_l1_p3_f1_s2,02.03.02 Фундаментальная информатика и информационные технологии,МАИ,Бакалавриат,Платная иностранцы,очная,88,-1
32,p20230731112014_1_l1_p3_f1_s4,09.03.01 Информатика и вычислительная техника,МАИ,Бакалавриат,Платная иностранцы,очная,117,-1
